url,description,price,square_feet,bedrooms,neighborhood
https://sfbay.craigslist.org/eby/apa/d/oakland-spacious-2bd-2ba-garage-205/7085353589.html,Spacious 2bd 2ba & garage. 205 Best ave. @ Lafayette . Walk to dntown,2695.0,1165.0,2.0,san leandro
https://sfbay.craigslist.org/eby/apa/d/fremont-1br-available-3-07-includes/7085353242.html,1br available 3/07 includes washer and dryer (Union City),2269.0,603.0,1.0,fremont / union city / newark
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-living-in-the/7085352999.html,"Modern living in the heart of the city - 1bd w/ rooftop, gym & more!",4300.0,543.0,1.0,castro / upper market
https://sfbay.craigslist.org/eby/apa/d/fremont-most-popular-floor-plan/7085352800.html,Most Popular Floor Plan!  Available For March And April,1950.0,630.0,1.0,fremont / union city / newark
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-designed-4br-2ba/7083728952.html,Newly designed 4br 2ba garden apartment in-law on 17th ave/ Taraval,3600.0,1110.0,4.0,sunset / parkside
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-now-on-site/7085352108.html,"Move In Now, On Site Parking, Pet Friendly #402",4110.0,650.0,1.0,hayes valley
https://sfbay.craigslist.org/nby/apa/d/petaluma-love-where-you-live-townhomes/7080553298.html,Love Where You Live! Townhomes Available Now!,2099.0,700.0,2.0,petaluma
https://sfbay.craigslist.org/sby/apa/d/san-jose-modern-2bed-2bath-apartment/7085351725.html,Modern 2Bed 2Bath Apartment Home available Now!!,3687.0,1168.0,2.0,san jose north
https://sfbay.craigslist.org/nby/apa/d/sebastopol-farm-life-2-bdrm-mobile-home/7085351676.html,Farm life- 2 bdrm mobile home,1975.0,850.0,2.0,sebastopol
https://sfbay.craigslist.org/nby/apa/d/petaluma-welcome-home-2x1townhomes/7079326378.html,Welcome Home! 2x1Townhomes Available @ WoodCreek Apartments!,2099.0,700.0,2.0,petaluma
https://sfbay.craigslist.org/sby/apa/d/san-jose-call-for-details-in-home/7085351600.html,"Call for Details, In Home Laundry, Shimmering Pool",2990.0,769.0,1.0,san jose downtown
https://sfbay.craigslist.org/pen/apa/d/redwood-city-new-weekend-special-1500/7085351291.html,New Weekend Special! $1500 Off First Months Rent! Apply Now!,4248.0,1112.0,2.0,redwood city
https://sfbay.craigslist.org/sby/apa/d/sunnyvale-fitness-center-call-for/7085351270.html,"Fitness Center, Call for Details, Schedule a Tour",4185.0,1059.0,2.0,sunnyvale
https://sfbay.craigslist.org/eby/apa/d/livermore-3x15-bedroom-resort-inspired/7085351180.html,"3x1.5 Bedroom, Resort-Inspired Pool, Plank Vinyl Flooring, Playground",2812.0,2812.0,3.0,dublin / pleasanton / livermore
https://sfbay.craigslist.org/sby/apa/d/san-jose-beautiful-spacious-2bed-2bath/7085351182.html,Beautiful Spacious 2Bed 2Bath with pool view avail 4/4!,3492.0,1082.0,2.0,san jose north
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-updated-apt-with-d/7084142556.html,"LARGE, UPDATED  APT with W/D in unit",3595.0,1100.0,1.0,marina / cow hollow
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-2bd-1ba-awesome/7082458892.html,Spacious 2BD/1BA w/Awesome Views and Parking Available,3500.0,900.0,2.0,alamo square / nopa
https://sfbay.craigslist.org/nby/apa/d/rohnert-park-great-housing-and/7085350747.html,Great Housing and Plentiful Community Amenities!,1912.0,,,rohnert pk / cotati
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-garden/7085315363.html,2 Bedroom - Garden Apartment Near UCSF - Mar 13th,2900.0,680.0,2.0,inner sunset / ucsf
https://sfbay.craigslist.org/nby/apa/d/petaluma-we-love-having-you-here/7080033894.html,We love having you here @ WoodCreek Apartments!,2099.0,700.0,2.0,petaluma
https://sfbay.craigslist.org/sby/apa/d/sunnyvale-experience-the-peartree/7085350612.html,Experience the Peartree Apartments Lifestyle,4160.0,851.0,2.0,sunnyvale
https://sfbay.craigslist.org/eby/apa/d/walnut-creek-renovated-apartment-near/7085350598.html,Renovated apartment near Downtown Walnut Creek!,1800.0,720.0,1.0,walnut creek
https://sfbay.craigslist.org/sby/apa/d/cupertino-1-month-free-walk-to-facebook/7085350423.html,"1 Month Free Walk to Facebook Shuttle, Apple, or De Anza",2645.0,600.0,1.0,cupertino
https://sfbay.craigslist.org/sby/apa/d/san-jose-charming-one-bed-one-bath/7085350378.html,Charming One Bed One Bath Apartment Home with Courtyard View!!,2929.0,778.0,1.0,san jose north
https://sfbay.craigslist.org/nby/apa/d/el-verano-apartment-for-rent/7070377594.html,Apartment for rent,1785.0,900.0,2.0,sonoma
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-jasper-your-spacious/7085349933.html,Jasper | Your Spacious Studio Home! TWO WEEKS FREE!!!,3580.0,,1.0,soma / south beach
https://sfbay.craigslist.org/sby/apa/d/cupertino-1-month-free-apple-deanza/7085349828.html,"1 Month Free! Apple &  DeAnza College are a short walk away, plus WD",4095.0,990.0,2.0,cupertino
https://sfbay.craigslist.org/sby/apa/d/san-jose-sunny-beautiful-spacious-2bed/7085349682.html,Sunny Beautiful Spacious 2Bed 2Baths with pool view avail Now!!,3542.0,1082.0,2.0,san jose north
https://sfbay.craigslist.org/nby/apa/d/petaluma-its-time-to-make-life/7079322675.html,It’s time to make Life! 2x1Townhomes Available @ WoodCreek Apartments!,2099.0,700.0,2.0,petaluma
https://sfbay.craigslist.org/eby/apa/d/dublin-two-bed-available-in-gated/7085349500.html,Two Bed available in a Gated Community and Pet Friendly!,2915.0,1051.0,2.0,dublin / pleasanton / livermore
https://sfbay.craigslist.org/sby/apa/d/sunnyvale-your-new-home-is-here-at-the/7085349311.html,"Your new home is here at the grove, 1 bed 1 bath available now",3449.0,912.0,2.0,sunnyvale
https://sfbay.craigslist.org/eby/apa/d/oakland-remodeled-2-bed-1-bath-in/7085349241.html,Remodeled 2 bed/1 bath in Highland Terrace area,1900.0,715.0,2.0,oakland east
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-master-bedroom-private/7085336735.html,"Master Bedroom w/Private Bath, near Stonestown & SFSU",1700.0,,1.0,ingleside / sfsu / ccsf
https://sfbay.craigslist.org/pen/apa/d/san-mateo-near-caltrain-stationwhole/7085349182.html,"Near Caltrain Station,Whole Foods, Shopping Center & Major Freeways",5756.0,1498.0,3.0,san mateo
https://sfbay.craigslist.org/eby/apa/d/lathrop-beautiful-upscale-neighborhood/7083603047.html,"BEAUTIFUL UPSCALE NEIGHBORHOOD. ..UPGRADED HOUSE "" 4 BED 3 BATH",2599.0,2550.0,4.0,---1 hour drive / tracy area / river islands
https://sfbay.craigslist.org/sby/apa/d/san-jose-sunny-spacious-one-bedroom-one/7085349081.html,Sunny Spacious One bedroom One bath Top floor with Courtyard view!,2806.0,778.0,1.0,san jose north
https://sfbay.craigslist.org/pen/apa/d/redwood-city-new-stylish-upgrades/7085349043.html,"New Stylish Upgrades, Greenhouse Style Pool, Pet Friendly!",3206.0,743.0,1.0,redwood city
https://sfbay.craigslist.org/pen/apa/d/burlingame-beautiful-updated-burlingame/7085348930.html,Beautiful Updated Burlingame Home,6500.0,1720.0,3.0,burlingame
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-designer-furnished-3bd/7079705669.html,"Designer Furnished 3bd/2bth Condo, 1 block to Palace & Marina +elevatr",9500.0,1600.0,3.0,marina / cow hollow
https://sfbay.craigslist.org/nby/apa/d/petaluma-live-uptown-in-downtown/7079327488.html,Live Uptown in Downtown Petaluma!,2099.0,700.0,2.0,petaluma
https://sfbay.craigslist.org/pen/apa/d/san-mateo-spacious-one-bedroom-newly/7085348494.html,Spacious One Bedroom Newly Renovated On Foster City Lagoon !!,3346.0,780.0,1.0,foster city
https://sfbay.craigslist.org/nby/apa/d/santa-rosa-apartment-for-rent-washer/7081492861.html,Apartment for rent. Washer/Dryer in Unit.,1720.0,787.0,2.0,santa rosa
https://sfbay.craigslist.org/pen/apa/d/south-san-francisco-be-the-first-to/7085348153.html,"Be The First to Live Here, Walk In Closets, Pet Friendly",4254.0,1078.0,2.0,south san francisco
https://sfbay.craigslist.org/sby/apa/d/san-jose-spacious-room-for-rent-in/7068709612.html,Spacious room for rent in south San Jose Cambrian park,950.0,130.0,,willow glen / cambrian
https://sfbay.craigslist.org/sby/apa/d/san-jose-brand-new-one-two-bedroom/7085347767.html,Brand New One & Two Bedroom Homes! Call Now for Specials!,4535.0,1203.0,2.0,san jose west
https://sfbay.craigslist.org/eby/apa/d/fremont-2-bedroom-town-home-granite/7085347712.html,2 Bedroom Town home W/ Granite Counter Tops in the Heart of Fremont!!,2600.0,1004.0,2.0,fremont / union city / newark
https://sfbay.craigslist.org/eby/apa/d/oakland-large-2-bedroom-2-bath-near/7083754478.html,"Large 2 Bedroom, 2 Bath Near Lake Merritt",2700.0,750.0,2.0,oakland lake merritt / grand
https://sfbay.craigslist.org/sby/apa/d/sunnyvale-brand-new-home-in-santa-clara/7085346838.html,Brand new home in Santa Clara 4Br/3.5Bath,6400.0,2220.0,4.0,santa clara
https://sfbay.craigslist.org/pen/apa/d/mountain-view-move-in-now-newly/7085346286.html,"Move In Now, Newly Renovated, Close to Castro Street",3862.0,970.0,2.0,mountain view
https://sfbay.craigslist.org/sby/apa/d/san-jose-2-car-garage-beautiful/7085331831.html,2-Car Garage! Beautiful Townhouse Style Home Available Soon!,3552.0,1294.0,2.0,san jose south
https://sfbay.craigslist.org/pen/apa/d/san-carlos-condo-like-2-bedroom-in-san/7077119351.html,Condo like 2 bedroom in San Carlos hills $2720,2720.0,1000.0,2.0,san carlos
https://sfbay.craigslist.org/pen/apa/d/san-carlos-condo-like-2-bedroom-in-san/7085346086.html,Condo like 2 bedroom in San Carlos hills $2720,2720.0,1000.0,2.0,san carlos
https://sfbay.craigslist.org/sby/apa/d/santa-clara-if-you-love-bright-natural/7085322627.html,"If you love BRIGHT, NATURAL LIGHT then you'll love our selection",3625.0,1187.0,2.0,santa clara
https://sfbay.craigslist.org/sby/apa/d/campbell-big-pationear/7085345378.html,"BIG patio.Near Netflix,Baracudda,tech bus.New remodel,HDWD.Pool,Gym",2395.0,700.0,1.0,campbell
https://sfbay.craigslist.org/sby/apa/d/san-jose-at-last-this-is-what-youve/7085335994.html,"At Last, This Is What You've Been Searching For.",2795.0,1056.0,2.0,santa clara
https://sfbay.craigslist.org/nby/apa/d/rohnert-park-1100sf-large-open-floor/7085330935.html,1100sf Large Open Floor Plan! Brand New Apartment!,2735.0,1100.0,2.0,rohnert pk / cotati
https://sfbay.craigslist.org/sby/apa/d/campbell-pool-fitness-spa-fully/7085345145.html,"Pool, Fitness, Spa, fully equipped kitchen, granite, large closets",3095.0,1005.0,2.0,campbell
https://sfbay.craigslist.org/nby/apa/d/santa-rosa-tour-today-homes-leasing/7085312767.html,Tour Today! Homes Leasing Quickly!,2645.0,1235.0,3.0,santa rosa
https://sfbay.craigslist.org/pen/apa/d/san-mateo-1bedroom1bath-san-mateo/7085344909.html,1bedroom1bath-San Mateo Central,2350.0,640.0,1.0,san mateo
https://sfbay.craigslist.org/nby/apa/d/kentfield-newly-renovated-gerstle-park/7081727094.html,NEWLY RENOVATED GERSTLE PARK STUDIO IN-LAW UNIT,1775.0,300.0,1.0,san rafael
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-2-bed-den-up-to-4/7071632870.html,LARGE 2 BED + DEN! - UP TO 4 WEEKS FREE!,6746.0,1309.0,2.0,potrero hill
https://sfbay.craigslist.org/pen/apa/d/san-mateo-1bedroom1bath-san-mateo/7085344612.html,1bedroom1bath-San Mateo Central,2350.0,640.0,1.0,san mateo
https://sfbay.craigslist.org/eby/apa/d/fremont-bed-corner-unit-yard-wash-dryer/7072708473.html,$2449-1 BED CORNER UNIT W/YARD & WASH/DRYER!,2449.0,600.0,1.0,fremont / union city / newark
https://sfbay.craigslist.org/eby/apa/d/fremont-beautiful-1-bed-for-2399-first/7070219546.html,"BEAUTIFUL 1 BED FOR $2399!  FIRST COME, FIRST SERVE!",2399.0,600.0,1.0,fremont / union city / newark
https://sfbay.craigslist.org/eby/apa/d/fremont-special-1-month-free-on-all-one/7070216810.html,*SPECIAL* 1 MONTH FREE ON ALL ONE BEDS!,2499.0,600.0,1.0,fremont / union city / newark
https://sfbay.craigslist.org/eby/apa/d/walnut-creek-ready-to-move-in-now-large/7085344053.html,Ready To Move In Now! ** Large Two Bedroom Two Bathroom**,3235.0,1020.0,2.0,walnut creek
https://sfbay.craigslist.org/sby/apa/d/vibrant-community-heated-pools-ev/7066754148.html,"Vibrant Community, Heated Pools, EV stations - HOME",3395.0,950.0,2.0,cupertino
https://sfbay.craigslist.org/pen/apa/d/pacifica-prime-beach-location-by/7085343609.html,"Prime Beach Location by Pacifica Pier!  $1,000 OFF 1ST MONTH'S RENT!",3125.0,,2.0,pacifica
https://sfbay.craigslist.org/sby/apa/d/los-gatos-first-month-on-us-renovated/7083675102.html,First Month On Us! Renovated 2b/2b Walking Distance To DT Los Gatos!,3595.0,1052.0,2.0,
https://sfbay.craigslist.org/eby/apa/d/light-filled-2-bedroom-adams-point/7085343413.html,Light-Filled 2 Bedroom Adam's Point Apartment,2800.0,800.0,2.0,oakland lake merritt / grand
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gem-renovated-in-unit/7083494439.html,"Gem! Renovated, In-Unit Laundry, Large!   555 Eddy #4",2595.0,,1.0,tenderloin
https://sfbay.craigslist.org/nby/apa/d/petaluma-2-bedroom-1-bath-west-petaluma/7074306142.html,"2 bedroom, 1 bath West Petaluma",2500.0,1100.0,2.0,petaluma
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-garden-view-studio/7083658855.html,"Quiet, Garden View Studio! Newly Renovated | 555 Eddy St . Unit 10",1850.0,,1.0,tenderloin
https://sfbay.craigslist.org/eby/apa/d/berkeley-quiet-2-bdrm-near-ucb-bart/7073474030.html,"Quiet 2-Bdrm Near UCB, BART, Downtown",2800.0,,2.0,berkeley north / hills
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-home-roof-deck-garden-2/7083920169.html,"Home w/ Roof Deck, Garden & 2 Car Parking-2631 22nd Ave.",5400.0,1800.0,3.0,sunset / parkside
https://sfbay.craigslist.org/sby/apa/d/campbell-1-bed-1-bath-close-to-downtown/7085328757.html,"1 Bed/1 Bath Close to Downtown, Banks, Shopping, Coffee + MORE!!!",3177.0,839.0,1.0,campbell
https://sfbay.craigslist.org/sby/apa/d/san-jose-5-beds-5-baths-magnificent/7084146254.html,5 BEDS 5 BATHS MAGNIFICENT SILVER CREEK VALLEY COUNTRY CLUB HOME,6495.0,3804.0,5.0,san jose
https://sfbay.craigslist.org/scz/apa/d/aptos-remodeled-2br-1ba-cottage/7083195472.html,Remodeled 2BR/1BA Cottage,2800.0,,2.0,aptos
https://sfbay.craigslist.org/eby/apa/d/berkeley-quiet-gourmet-ghetto-1-bdrm-nr/7085342805.html,"Quiet Gourmet Ghetto 1-Bdrm. Nr UCB, BART, Downtown",2100.0,,1.0,berkeley north / hills
https://sfbay.craigslist.org/nby/apa/d/santa-rosa-amazing-property-at-finley/7085305217.html,"Amazing property at Finley Ave Santa Rosa, CA 95407 1 bed 1 bath sqf",1760.0,576.0,1.0,santa rosa
https://sfbay.craigslist.org/eby/apa/d/berkeley-hills-in-law-unit-walk-to-lbl/7080833762.html,"Berkeley Hills - in-law unit. Walk to LBL, MSRI, SSL, UCB bus line",1950.0,,1.0,berkeley north / hills
https://sfbay.craigslist.org/eby/apa/d/pittsburg-sunny-1-bed-fully-renovated/7085327537.html,"SUNNY 1 BED - FULLY RENOVATED WITH W/D, HUGE PATIO! TOUR TODAY!!!",1853.0,644.0,,pittsburg / antioch
https://sfbay.craigslist.org/eby/apa/d/alameda-private-feeling-cozy-1-bed/7085342309.html,"Private Feeling, Cozy 1-Bed Amongst Trees-Large Patio,Gym,Heated Pool",2705.0,770.0,1.0,alameda
https://sfbay.craigslist.org/eby/apa/d/oakland-visit-atlas-today-view-your-new/7085341528.html,Visit Atlas Today & View Your New Home with Us-NOW Leasing for 3/20,4208.0,905.0,1.0,oakland downtown
https://sfbay.craigslist.org/eby/apa/d/dublin-full-size-washers-and-dryers/7085341952.html,"Full-Size Washers and Dryers, Vinyl Plank Flooring, Vaulted Ceilings",2230.0,763.0,1.0,dublin / pleasanton / livermore
https://sfbay.craigslist.org/pen/apa/d/san-mateo-remodeled-1-bedroom-blocks-to/7076441622.html,REMODELED 1 bedroom blocks to Burlingame Avenue QUIET and PRIVATE!,2600.0,,1.0,san mateo
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-at-2000-post/7085333882.html,Studio at 2000 Post Apartments Available Now with an Awesome Promotion,2947.0,475.0,1.0,lower pac hts
https://sfbay.craigslist.org/eby/apa/d/oakland-visit-atlas-today-view-your-new/7085341528.html,Visit Atlas Today & View Your New Home with Us-NOW Leasing for 3/20,4208.0,905.0,1.0,oakland downtown
https://sfbay.craigslist.org/eby/apa/d/dublin-full-size-washers-and-dryers/7085341952.html,"Full-Size Washers and Dryers, Vinyl Plank Flooring, Vaulted Ceilings",2230.0,763.0,1.0,dublin / pleasanton / livermore
https://sfbay.craigslist.org/pen/apa/d/san-mateo-remodeled-1-bedroom-blocks-to/7076441622.html,REMODELED 1 bedroom blocks to Burlingame Avenue QUIET and PRIVATE!,2600.0,,1.0,san mateo
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-at-2000-post/7085333882.html,Studio at 2000 Post Apartments Available Now with an Awesome Promotion,2947.0,475.0,1.0,lower pac hts
https://sfbay.craigslist.org/sby/apa/d/palo-alto-24-hour-fitness-center-and/7081202278.html,"24-hour Fitness Center and Yoga Studio, Designer Quartz Countertops",4647.0,1098.0,2.0,mountain view
https://sfbay.craigslist.org/nby/apa/d/santa-rosa-prime-location-1x1-with-d/7085341659.html,PRIME LOCATION - 1X1 WITH W/D & PRIVATE GARAGE-$1000 MOVE IN SPECIAL,1769.0,,1.0,santa rosa
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-prime-cow-hollow/7085341351.html,Spacious Prime Cow Hollow 2bed/2bath w/Laundry+Parking ~ J.Wavro,5295.0,,2.0,marina / cow hollow
https://sfbay.craigslist.org/eby/apa/d/antioch-3-bedroom-2-full-bath-in/7085341118.html,:):) 3 Bedroom/ 2 full Bath In Antioch :):),2500.0,1150.0,3.0,pittsburg / antioch
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-2bed-2bath/7085340939.html,"Beautiful 2bed 2bath luxury apartment rental (in The Brannan SF), 4/1",5500.0,1150.0,2.0,soma / south beach
https://sfbay.craigslist.org/sby/apa/d/san-jose-2-bdrm-duplex/7085340902.html,2 bdrm duplex,2200.0,750.0,2.0,san jose downtown
https://sfbay.craigslist.org/sby/apa/d/sunnyvale-one-bedroom-with-private/7085340883.html,One Bedroom with Private Patio! Tour with Encasa today!,3580.0,816.0,1.0,sunnyvale
https://sfbay.craigslist.org/eby/apa/d/oakland-bedroom-with-6-weeks-free/7085340870.html,$3406 2 Bedroom with 6 weeks FREE!,3406.0,907.0,2.0,oakland piedmont / montclair
https://sfbay.craigslist.org/eby/apa/d/vallejo-2bd-den-2ba-waterfront-steps/7085325467.html,2bd + Den/2ba waterfront steps from Vallejo Ferry - avail now,2645.0,1260.0,2.0,vallejo / benicia
https://sfbay.craigslist.org/eby/apa/d/fremont-on-site-management-carpeted/7074739870.html,"On-Site Management, Carpeted, Close to Schools",2500.0,768.0,2.0,fremont / union city / newark
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2bd-2bth-apt-walkers/7082541369.html,"2Bd 2Bth Apt, Walkers paradise-central loc! Rooftop, Balcony, Parking",4650.0,950.0,2.0,nob hill
https://sfbay.craigslist.org/pen/apa/d/san-mateo-move-in-special-one-month/7082291138.html,Move In Special! One MONTH FREE RENT!!!!!,3700.0,1152.0,2.0,san mateo
https://sfbay.craigslist.org/sby/apa/d/san-jose-cozy-1x1-with-great-view-tour/7085316629.html,Cozy 1x1 with Great View! Tour Today!,2215.0,698.0,1.0,san jose south
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-top-floor-one/7085339691.html,Charming Top Floor One Bed One Bath Condo ~ J.Wavro,3900.0,,1.0,jordan park
https://sfbay.craigslist.org/eby/apa/d/richmond-charming-spacious-3-bedrooms/7078379244.html,"Charming Spacious 3 Bedrooms, Hardwood Flooring, Laundry Hookups",2500.0,,3.0,richmond / point / annex
https://sfbay.craigslist.org/eby/apa/d/vallejo-new-remodeled-one-bedroom-new/7078378688.html,"New Remodeled One Bedroom, New Kitchen & Bath, New Flooring",1350.0,,1.0,vallejo / benicia
https://sfbay.craigslist.org/sby/apa/d/san-jose-cut-your-commute-live-in-dtsj/7085339482.html,CUT YOUR COMMUTE! LIVE IN DTSJ! WALK-ABLE EVERYWHERE!,2379.0,,1.0,san jose downtown
https://sfbay.craigslist.org/nby/apa/d/santa-rosa-newly-remodeled-town-home/7074035387.html,Newly Remodeled Town Home,2300.0,1300.0,3.0,santa rosa
https://sfbay.craigslist.org/sby/apa/d/san-jose-check-out-this-2x2-apartment/7085339172.html,Check Out This 2x2 Apartment with In-Wall USB Ports,2659.0,1025.0,2.0,san jose downtown
